company,profits,rank,revenues,year
General Motors,847.4,1,"10,796.4",1957
Exxon Mobil,808.5,2,"7,126.9",1957
Ford Motor,236.6,3,"4,647.0",1957
U.S. Steel,348.1,4,"4,228.9",1957
General Electric,213.8,5,"4,090.0",1957
Mobil,249.5,6,"2,750.3",1957
Chrysler,20.0,7,"2,676.3",1957
Esmark,14.0,8,"2,429.3",1957
AT&T Technologies,81.0,9,"2,372.7",1957
Gulf Oil,282.7,10,"2,339.7",1957
Bethlehem Steel,161.4,11,"2,326.7",1957
Texaco,302.3,12,"2,046.3",1957
Armour,14.7,13,"2,011.4",1957
Amoco,149.4,14,"1,890.2",1957
DuPont,383.4,15,"1,888.4",1957
Shell Oil,135.8,16,"1,635.4",1957
CBS,3.5,17,"1,525.4",1957
ChevronTexaco,267.9,18,"1,452.5",1957
Goodyear Tire & Rubber,62.5,19,"1,358.8",1957
Kraft,41.7,20,"1,352.9",1957
Union Carbide,146.2,21,"1,324.5",1957
Navistar International,49.6,22,"1,252.1",1957
Republic Steel,90.4,23,"1,244.2",1957
Sinclair Oil,95.9,24,"1,180.1",1957
RCA,40.0,25,"1,121.1",1957
General Motors,873.1,1,"11,233.1",1960
Exxon Mobil,629.8,2,"7,910.7",1960
General Motors,843.6,1,"10,989.8",1958
General Motors,633.6,1,"9,522.0",1959
General Motors,"1,189.5",1,"12,443.3",1956
General Motors,806.0,1,"9,823.5",1955
General Motors,"1,459.1",1,"14,640.2",1963
Firestone Tire & Rubber,60.5,26,"1,115.2",1957
Douglas Aircraft,33.2,27,"1,073.5",1957
General Dynamics,31.9,28,"1,047.8",1957
Procter & Gamble,59.3,29,"1,038.3",1957
ConocoPhillips,95.2,30,"1,033.4",1957
Continental Group,43.1,31,"1,010.3",1957
Boeing,32.1,32,"1,006.4",1957
Citgo Petroleum,62.2,33,973.7,1957
Ford Motor,451.4,3,"5,356.9",1960
General Electric,280.2,4,"4,349.5",1960
U.S. Steel,254.6,5,"3,643.0",1960
Mobil,164.0,6,"3,092.9",1960
Gulf Oil,290.5,7,"2,713.0",1960
Texaco,354.3,8,"2,678.0",1960
Chrysler,-5.4,9,"2,643.0",1960
Exxon Mobil,805.2,2,"7,830.2",1958
Ford Motor,282.8,3,"5,771.3",1958
U.S. Steel,419.4,4,"4,413.8",1958
General Electric,247.9,5,"4,335.7",1958
Chrysler,120.0,6,"3,565.0",1958
Mobil,220.4,7,"2,976.1",1958
Gulf Oil,354.3,8,"2,730.1",1958
